id,title,content,brief,target,type
10000,Coming to a decision treasures,"    Open the [intermediate] Gift rewarded props; bonus track with a detailed breakdown, can be found in [wrapped] in the upper right corner.","    In the top right, select the main interface [package], after opening the package interface to select [chest], [find] Intermediate Gift right click and select Open.",Open [Gift],1
10001,Edmonton benevolent government,"    The main source of gold resources is tax people, the more the number of city population more revenue. Raising tax rates may increase in gold revenue. The tax rate is 20% of the people can accept the quota exactions of the people will have been betrayed so leave your city.","    Open the [palace] sub-interface, the capital of [information] in [tax] Click [behind] to adjust, enter the desired rate and then click OK.",[Rate] 20%,1
10002,Emotionally,"    Lord notices can increase three building queue, the rapid expansion of city size, is very practical props.","    In the top right, select the main interface [package], after opening the package interface to select [treasure], [find] lord notices left-click and choose [use].",[Use] the lord notices,1
10003,In full swing,"    Adjusted operating rate to allow more free labor into production work. When idle population is not enough, it can also reduce the operating rate is adjusted.","    Open the [palace] sub-interface, select [resources] production, capacity utilization in [] input box set of all capacity utilization rate of 100% and click [Save].",Operating rate of 100%,1
10004,People pray,"    Blessing ceremony was held for the people, to promote your righteousness to the public, improve morale and reduce grievances.","    Open the [palace] sub-interface, select the information [the capital], click [appease] and select [pray] and click OK.",Clifford,1
10005,Heaven bless,"    Favorable factors are indispensable, worship heaven and earth is a major event, praying for good weather for the coming year, the success of the urban population increased by 500, of course, if worship is not successful, the city residents will leave 500 people.","    Open the [palace] sub-interface, select [capital] information, click [] and select [ritual to appease] and click OK.",Heaven,1
10006,Zengdingtiankou,"    The city population makes less than city development has been greatly restricted, issued a series of decrees to encourage refugees to come to your city can make you temporarily off the hook.","    Open the [palace] sub-interface, select the information [the capital], click [appease] and select [childbirth] and click OK.",By Ding,1
10007,Fairy upgrade,"    Gods can gain experience in experience, access to enhance the level of reward. When the experience reaches upgrade requirements can be upgraded to operate. Can enhance the ability to upgrade fairy, fairy advanced strength but not a small glimpse.","    [City] into the main interface, select [building] the fairy, click To upgrade the gods. Click View to select the [upgrade] and point to the potential value added ability San Xian and then click [Save]. You can also use the [point] wash redistribution of property generals Points",Generals upgrade,1
10008,Get the name of Sin,"Invincible Gods in the world, in addition to the general strength of the San Xian, big mountains and blessed the historic city will appear in the strength of powerful name immortal, certain conditions they may assist you hegemony dominate.","When strength enough to be blessed and mountains to explore the historic city of the wild, captive names can battle after the victory cents (function did not realize)",Wrong,2
10009,Know thyself,"    ""Know thyself, know yourself"", scout can get each other's intelligence, know each other deployments, the amount of resources and to develop the appropriate tactics, can effectively avoid the waste of troops.",    Find and select Class 1 ownerless wilderness [reconnaissance] instruction execution in the world map.,reconnaissance,1
10010,Then division,"    Under party chaos today, princes and play. Cheng Tang is no way, after all, six hundred years Foundation, the strength of powerful; Zhou Ren Ming room, when interest should be shipped, but can not change is the princes started, strength weaker. The two sides battle eventually have accumulated external help. To prove his strength, his assistant, a party king will accomplish something brilliant.","    After the palace to rise to 2 and a certain prestige to obtain official tribute by gold, treasure.",Enhance office,1
10011,Then the doctor,"    Under party chaos today, princes and play. Cheng Tang is no way, after all, six hundred years Foundation, the strength of powerful; Zhou Ren Ming room, when interest should be shipped, but can not change is the princes started, strength weaker. The two sides battle eventually have accumulated external help. To prove his strength, his assistant, a party king will accomplish something brilliant.","    After the palace rose to 4 and reach a certain prestige to obtain official tribute by gold, treasure.",Enhance office,1
10012,Under doctor,"    Under party chaos today, princes and play. Cheng Tang is no way, after all, six hundred years Foundation, the strength of powerful; Zhou Ren Ming room, when interest should be shipped, but can not change is the princes started, strength weaker. The two sides battle eventually have accumulated external help. To prove his strength, his assistant, a party king will accomplish something brilliant.","    After the palace rose to six and a certain prestige to obtain official tribute by gold, treasure.",Enhance office,1
10013,The doctor,"    Under party chaos today, princes and play. Cheng Tang is no way, after all, six hundred years Foundation, the strength of powerful; Zhou Ren Ming room, when interest should be shipped, but can not change is the princes started, strength weaker. The two sides battle eventually have accumulated external help. To prove his strength, his assistant, a party king will accomplish something brilliant.","    After the palace rose to eight and a certain prestige to obtain official tribute by gold, treasure. Advanced the doctor to open a sub-city.",Enhance office,1
10014,The doctor,"    Under party chaos today, princes and play. Cheng Tang is no way, after all, six hundred years Foundation, the strength of powerful; Zhou Ren Ming room, when interest should be shipped, but can not change is the princes started, strength weaker. The two sides battle eventually have accumulated external help. To prove his strength, his assistant, a party king will accomplish something brilliant.","    After the palace to rise to 9 and reach a certain prestige to obtain official tribute by gold, treasure. Official doctor can be reached on the Union transport and open additional series of tasks destiny",Enhance office,1
10015,Sikou,"    Under party chaos today, princes and play. Cheng Tang is no way, after all, six hundred years Foundation, the strength of powerful; Zhou Ren Ming room, when interest should be shipped, but can not change is the princes started, strength weaker. The two sides battle eventually have accumulated external help. To prove his strength, his assistant, a party king will accomplish something brilliant.","    After the palace rose to 10 and reaches a certain prestige to obtain official tribute by gold, treasure. Sikou office can reach a maximum increase in the number of occupied wilderness.",Enhance office,1
10016,SI Shi,"    Under party chaos today, princes and play. Cheng Tang is no way, after all, six hundred years Foundation, the strength of powerful; Zhou Ren Ming room, when interest should be shipped, but can not change is the princes started, strength weaker. The two sides battle eventually have accumulated external help. To prove his strength, his assistant, a party king will accomplish something brilliant.","    After the palace to rise to 11 and reaches a certain prestige to obtain official tribute by gold, treasure. The maximum number of Division office disabilities can increase a city divided.",Enhance office,1
10017,Sikong,"    Under party chaos today, princes and play. Cheng Tang is no way, after all, six hundred years Foundation, the strength of powerful; Zhou Ren Ming room, when interest should be shipped, but can not change is the princes started, strength weaker. The two sides battle eventually have accumulated external help. To prove his strength, his assistant, a party king will accomplish something brilliant.","    After the palace rose to 12 and reaches a certain prestige to obtain official tribute by gold, treasure. Reach commandant office, it can make all transport speed doubled.",Enhance office,1
10018,Sima,"    Under party chaos today, princes and play. Cheng Tang is no way, after all, six hundred years Foundation, the strength of powerful; Zhou Ren Ming room, when interest should be shipped, but can not change is the princes started, strength weaker. The two sides battle eventually have accumulated external help. To prove his strength, his assistant, a party king will accomplish something brilliant.","    After the palace to rise to 13 and reaches a certain prestige to obtain official tribute by gold, treasure. Sima office can achieve the maximum increase in the number of occupied wild one.",Enhance office,1
